454	14699	0.0110657490	14175	0.0175805967	14160	0.0194324982	21962	0.0198942014	21961	0.0208868472	21846	0.0226819248	21979	0.0253052464	14712	0.0260393914	21855	0.0265292215	21820	0.0284175134	
386	21915	0.0144752634	14201	0.0159826042	21874	0.0169091420	21882	0.0179441378	21829	0.0193918892	21836	0.0208449402	21894	0.0209074054	18162	0.0217587042	18261	0.0218618305	20464	0.0225119105	
522	22145	0.0181443834	20911	0.0253294656	14886	0.0258915722	22109	0.0265744156	17472	0.0269963838	22204	0.0289541647	22199	0.0293263609	17462	0.0294115815	17609	0.0302998917	16796	0.0306004349	
772	22418	0.0116197803	22458	0.0117569066	22433	0.0124020918	22512	0.0128804789	22435	0.0171311999	22473	0.0172690303	22441	0.0177161641	22342	0.0177549283	22417	0.0193341484	22536	0.0198942098	
324	190	0.0235303060	490	0.0255902882	275	0.0259711133	440	0.0297697149	374	0.0298507459	313	0.0375882370	492	0.0446272492	133	0.0485545760	143	0.0523132922	48	0.0550267267	
180	223	0.0112408774	274	0.0207615404	343	0.0220876094	146	0.0229396985	418	0.0247972908	299	0.0255626036	49	0.0275295787	419	0.0296097785	168	0.0301944896	23511	0.0311377905	
320	14660	0.0161313725	14703	0.0163645391	14651	0.0176650898	14206	0.0184167291	14652	0.0213814676	14144	0.0231570795	14642	0.0252520779	14175	0.0261300941	21855	0.0263220694	21223	0.0299338817	
752	14659	0.0043483932	14645	0.0081659984	21238	0.0149013228	21229	0.0198647597	14662	0.0204081648	14697	0.0222416312	21182	0.0237023065	14680	0.0239090834	14670	0.0260743275	14718	0.0285705548	
586	22909	0.0221459811	22867	0.0256928226	22957	0.0263672412	22991	0.0279959845	22950	0.0291047181	22820	0.0296904070	22835	0.0301998637	23058	0.0308413673	22813	0.0316234576	23089	0.0331093874	
408	222	0.0175760385	15713	0.0219586767	241	0.0246741296	15779	0.0247357946	15798	0.0262181262	289	0.0264849198	15740	0.0268476380	441	0.0270481347	410	0.0277177602	302	0.0283155840	
428	221	0.0207780171	173	0.0305089055	330	0.0319136629	164	0.0358736199	296	0.0435320340	226	0.0461978077	30	0.0507383221	23	0.0527908941	204	0.0544545457	156	0.0572045168	
986	27	0.0310438675	63	0.0399085315	176	0.0405178052	23134	0.0422494708	23105	0.0451666052	237	0.0454212062	56	0.0469161785	193	0.0469509001	23126	0.0498694748	23081	0.0504626503	
996	22955	0.0129834416	22891	0.0218721984	22953	0.0223330155	22899	0.0227856744	23045	0.0236818078	22932	0.0275689291	22882	0.0289712076	22868	0.0305545151	23055	0.0319194343	22853	0.0328902444	
464	23123	0.0258678775	5	0.0298346470	23140	0.0322866607	23059	0.0334901921	39	0.0335533214	23030	0.0356054448	23061	0.0367476812	36	0.0375168971	23018	0.0381552773	23006	0.0382342564	
346	23084	0.0052257830	23089	0.0082874626	23115	0.0101489312	23131	0.0156367713	22986	0.0163103058	23058	0.0166166873	23056	0.0173589637	22991	0.0188690652	23130	0.0189330837	23003	0.0197375732	
14	22356	0.0115677680	22329	0.0119383260	22328	0.0155243312	16766	0.0185549181	16744	0.0199083119	22341	0.0200967087	22434	0.0211665742	22462	0.0245846506	16741	0.0269295345	22457	0.0269754142	
466	17287	0.0178297302	17335	0.0197964328	17298	0.0200002176	22459	0.0212397445	22438	0.0247568231	17354	0.0265256588	22471	0.0273079615	22621	0.0293324036	17357	0.0293995114	22447	0.0300912051	
24	200	0.0512075490	130	0.0547608276	210	0.0559288932	83	0.0577323923	33	0.0645982617	446	0.0675566100	238	0.0706040678	4	0.0714774955	250	0.0722242494	23146	0.0725848768	
912	183	0.0167470875	144	0.0182646229	84	0.0203861409	292	0.0218637763	386	0.0227980231	15815	0.0242133086	89	0.0273177723	417	0.0290771257	397	0.0291729843	294	0.0311620582	
520	22740	0.0345353231	22629	0.0388649400	22755	0.0401107287	22853	0.0431796887	22897	0.0455912001	22614	0.0468284585	22874	0.0485191860	22664	0.0487944567	22778	0.0488534350	22738	0.0506960454	
302	23164	0.0048372470	14817	0.0194457890	23171	0.0224407380	23220	0.0240817593	23162	0.0245345676	14821	0.0256619847	14806	0.0263753675	17381	0.0275450457	23168	0.0276152670	23257	0.0287424068	
146	17545	0.0128211279	17602	0.0143867430	17638	0.0175127356	23199	0.0187485204	23272	0.0200362117	17705	0.0217213239	17693	0.0218957281	17559	0.0223519727	17639	0.0231862509	17482	0.0247739642	
140	22801	0.0112143776	22704	0.0158282113	22665	0.0187043539	22701	0.0236307762	22601	0.0249176300	22811	0.0269036675	22677	0.0269694672	22655	0.0275940851	22805	0.0276559373	22708	0.0281582266	
514	22745	0.0116653584	22786	0.0194099089	22675	0.0210869674	22641	0.0221668120	22826	0.0237179648	22753	0.0245340577	22527	0.0293083995	22590	0.0298342873	22639	0.0302105630	22513	0.0307887765	
956	17702	0.0082876120	17672	0.0172514056	17769	0.0176818158	17618	0.0178919856	17713	0.0200751166	17752	0.0204442943	17655	0.0219037969	17830	0.0232687017	17782	0.0236302867	17795	0.0279824821	
390	115	0.0182402164	28	0.0185606751	163	0.0242491027	100	0.0265854959	23139	0.0289180406	24	0.0345950901	23135	0.0349341042	18	0.0361070428	23097	0.0368810102	23087	0.0407697899	
204	15688	0.0133734938	235	0.0163694729	15661	0.0227110407	339	0.0232172624	15670	0.0236406921	15696	0.0247082776	15832	0.0274811930	295	0.0275016549	360	0.0296739509	15565	0.0311453296	
226	23096	0.0662059120	31	0.0676324111	23028	0.0685072195	42	0.0688031627	80	0.0701222883	11	0.0734408324	17	0.0749609164	14	0.0759831969	22910	0.0763920627	22941	0.0774612362	
934	23020	0.0581872450	22930	0.0642811606	23073	0.0645407606	22923	0.0648976918	23104	0.0656757121	23045	0.0662456476	22970	0.0676339672	23118	0.0699182690	22889	0.0708092440	22913	0.0708977042	
318	22997	0.0194814408	23097	0.0233322178	23063	0.0274419325	23010	0.0303626045	23139	0.0307863466	22929	0.0312524519	22958	0.0314000010	22942	0.0314359980	23087	0.0354600116	28	0.0371464150	
12	22552	0.0212665710	22658	0.0254261562	22583	0.0301131771	22537	0.0305022526	22362	0.0320305879	22606	0.0338725433	22656	0.0345413565	22482	0.0347873462	22598	0.0350352639	22402	0.0353913145	
576	22629	0.0464013125	22740	0.0501065203	22614	0.0532925025	22477	0.0534083649	22755	0.0545636185	22440	0.0557172185	22664	0.0565971386	22568	0.0585211643	22480	0.0607996982	22532	0.0613248431	
810	237	0.0592204968	176	0.0601814486	193	0.0635274984	63	0.0657963785	334	0.0660865721	27	0.0672851128	56	0.0761174780	37	0.0769394908	23134	0.0779902701	124	0.0808977848	
228	22836	0.0562317050	22858	0.0566988740	22800	0.0570742286	22695	0.0602068535	22967	0.0615729136	22623	0.0624855014	22678	0.0668711357	22650	0.0673836286	22726	0.0683446859	22835	0.0687517015	
712	22884	0.0511005629	22975	0.0595546011	23018	0.0601357638	22996	0.0637796549	23023	0.0639168978	22921	0.0640878003	23030	0.0664755654	22786	0.0666370329	23035	0.0669329993	23013	0.0669504340	
628	23154	0.0154775295	14848	0.0186931493	17445	0.0209698101	14775	0.0223128478	14824	0.0227824071	22224	0.0267795011	23178	0.0276781099	22111	0.0295226130	17459	0.0298386770	14740	0.0321736038	
452	247	0.0132222553	438	0.0160153882	295	0.0167421606	235	0.0174693594	505	0.0200799055	286	0.0218423287	339	0.0220644366	567	0.0234491946	360	0.0309499962	411	0.0310623302	
94	22119	0.0103261033	21993	0.0119113939	22030	0.0134624821	22024	0.0212698713	22085	0.0223526152	21987	0.0239821685	22185	0.0241634591	22193	0.0262198870	22005	0.0268201009	22237	0.0268499928	
450	23016	0.0794156306	23123	0.0813946296	165	0.0832997175	22978	0.0835190537	23071	0.0842345384	22996	0.0847233200	23030	0.0854808795	23018	0.0856729205	209	0.0871788697	23061	0.0887607454	
192	149	0.0078348759	172	0.0089736686	300	0.0211545957	117	0.0233202362	312	0.0238308026	15792	0.0247897196	253	0.0284191001	265	0.0296546987	15658	0.0302811614	15659	0.0307788712	
160	22168	0.0106146617	22162	0.0173585008	22096	0.0175573164	22186	0.0181576125	22046	0.0186353060	22093	0.0187394262	21950	0.0187426981	22028	0.0199113853	22207	0.0199761239	22053	0.0204174869	
492	14862	0.0134611026	17532	0.0205556851	22253	0.0209025761	17497	0.0214162190	22146	0.0222609256	17464	0.0228985204	17433	0.0244428209	17506	0.0246015746	17456	0.0253838355	17474	0.0253930542	
512	48	0.0146972014	23445	0.0171612537	23409	0.0172139063	23449	0.0219016627	23412	0.0225602734	23396	0.0228169742	23413	0.0232100912	23441	0.0246193924	23384	0.0251955172	23109	0.0272429418	
992	23087	0.0057812328	23097	0.0136051934	23063	0.0167320346	23135	0.0183199292	23127	0.0184890011	23139	0.0189600689	28	0.0201790810	24	0.0256135831	23091	0.0279126740	18	0.0288884701	
